HPFrac,WWR,WallRVal,WinUVal,WinSHGC,EUIkWhm2,TEDIkWhm2,GHGIkgCO2m2
0,0.35,6,0.24,0.3,95.26,34.02,10.46
0,0.35,6,0.24,0.35,94.40,33.16,10.28
0,0.35,6,0.24,0.4,94.12,32.87,10.22
0,0.35,6,0.28,0.3,99.00,37.37,11.15 
